id,Article Link,Article Title
28,https://www.dailymail.co.uk/health/article-10469799/Expert-warns-shoveling-snow-deadly-way-discover-underlying-heart-conditions.html,Expert warns that shoveling snow can be a deadly way to discover underlying cardiovascular conditions as straining the heart with physical activity could cause sudden death
36,https://www.dailymail.co.uk/news/article-10470093/Dolphins-owner-face-criminal-probe-bribery-following-Brian-Floress-lawsuit.html,"Dolphins owner 'could face criminal probe for bribery' after fired coach Brian Flores claimed he offered him $100,000 for every loss to improve the team's 2020 draft position"
38,https://www.dailymail.co.uk/news/article-10471081/Former-senator-presidential-candidate-Bob-Dole-laid-rest-Arlington-National-Cemetery.html,'He left a legacy of not just how to live but how to die': Former senator and presidential candidate Bob Dole gets three-volley salute and Gen. Milley presents flag to his wife as war hero is laid to rest at Arlington National Cemetery
39,https://www.dailymail.co.uk/news/article-10468591/Gallup-poll-finds-Americans-gloomy-state-nation-Biden.html,The gloomy state of the nation under Biden: Just 33% are satisfied with the economy and confidence in the military DROPS 10% in another dire poll that shows mood is worsening across most aspects of life
40,https://www.dailymail.co.uk/news/article-10470177/Senator-Ben-Luj-n-49-away-six-weeks-recovering-stroke.html,"Senator Ben Ray Luján, 49, may be away for up to six weeks recovering from stroke: Psaki sidesteps question on if his absence will delay Biden's agenda even further"
42,https://www.dailymail.co.uk/news/article-10469717/Trump-considered-blanket-pardon-January-6-defendants-left-office.html,Trump considered a blanket pardon on ALL January 6 defendants before he left office so suspects would 'never be testify or be deposed' 
44,https://www.dailymail.co.uk/news/article-10470013/Miss-USA-Cheslie-Kryst-battled-high-functioning-depression-hid-mom-says.html,REVEALED: Miss USA Cheslie Kryst's mom posts emotional message saying she battled 'high-functioning depression which she hid from everyone' before jumping to her death from NYC apartment building 
45,https://www.dailymail.co.uk/news/article-10468497/Biden-deploy-3-000-TROOPS-Eastern-Europe-major-force-against-Putin.html,"Biden insists he has ALWAYS told Putin he'll deploy troops to Eastern Europe and claims he's being 'aggressive': Moscow tears into Joe's 'destructive step' of sending in 3,000 soldiers as Ukraine crisis escalates "
46,https://www.dailymail.co.uk/news/article-10468449/Russia-China-discuss-closer-gas-financial-ties-Putin-visit-says-Kremlin.html,Beijing's bid to scupper Western sanctions against Moscow: China looks to create closer financial ties with Russia which could protect both countries from monetary punishments
47,https://www.dailymail.co.uk/news/article-10469553/Psaki-accuses-Republican-Senator-Josh-Hawley-parroting-Russian-misinformation.html,Psaki accuses Republican Senator Josh Hawley of 'parroting' Russian misinformation after he urged Biden to DROP support for letting Ukraine into NATO because it will hurt the bid to take on China
48,https://www.dailymail.co.uk/news/article-10469713/Ukrainians-fear-Putin-send-troops-Chernobyl-nuclear-disaster-zone.html,Ukrainians fear Putin will send his troops through Chernobyl nuclear disaster zone in short-cut to invade their capital Kyiv
